DRCOV VERSION: 2
DRCOV FLAVOR: drcov-64
Module Table: version 4, count 11
Columns: id, containing_id, start, end, entry, offset, path
  0,   0, 0x00007f66b7f9c000, 0x00007f66b7f9e000, 0x00007f66b7f9c8f0, 0000000000000000,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  1,   0, 0x00007f66b819d000, 0x00007f66b819f000, 0x00007f66b7f9c8f0, 0000000000001e68,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  2,   2, 0x00007f6737d95000, 0x00007f6737d99000, 0x00007f6737d95ef0, 0000000000000000,  /home/fredrik/subset/test/cov/cov.o
  3,   2, 0x00007f6737f99000, 0x00007f6737f9c000, 0x00007f6737d95ef0, 0000000000004cd0,  /home/fredrik/subset/test/cov/cov.o
  4,   4, 0x00007f673bd72000, 0x00007f673bd99000, 0x00007f673bd73090, 0000000000000000,  /lib/x86_64-linux-gnu/ld-2.27.so
  5,   4, 0x00007f673bf99000, 0x00007f673bf9c000, 0x00007f673bd73090, 0000000000027680,  /lib/x86_64-linux-gnu/ld-2.27.so
  6,   6, 0x00007f673bf9d000, 0x00007f673c100000, 0x00007f673c0985b1, 0000000000000000,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  7,   6, 0x00007f673c300000, 0x00007f673c370000, 0x00007f673c0985b1, 00000000001631a0,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  8,   8, 0x00007ffd199e8000, 0x00007ffd199ea000, 0x00007ffd199e8970, 0000000000000000,  [vdso]
  9,   9, 0x00007f673b94e000, 0x00007f673bb35000, 0x00007f673b96fcb0, 0000000000000000,  /lib/x86_64-linux-gnu/libc-2.27.so
 10,   9, 0x00007f673bd35000, 0x00007f673bd3f000, 0x00007f673b96fcb0, 00000000001e7620,  /lib/x86_64-linux-gnu/libc-2.27.so
BB Table: 3129 bbs
module id, start, size:
module[  4]: 0x0000000000018d65,   9
module[  4]: 0x0000000000018d6e,  11
module[  4]: 0x0000000000018d79,   4
module[  4]: 0x0000000000018d7d,   4
module[  4]: 0x0000000000018db0,  14
module[  4]: 0x0000000000018ce0,   5
module[  4]: 0x0000000000018ce5,  15
module[  4]: 0x0000000000018db0,  14
module[  4]: 0x0000000000018d13,  28
module[  4]: 0x0000000000018cad,  12
module[  4]: 0x0000000000018cb9,  16
module[  4]: 0x0000000000018cc9,  10
module[  4]: 0x0000000000018cd3,   7
module[  4]: 0x0000000000018ce8,  12
module[  4]: 0x0000000000018dbe,  12
module[  4]: 0x0000000000018cf4,   8
module[  4]: 0x0000000000018cfc,  17
module[  4]: 0x0000000000018d0d,   6
module[  4]: 0x0000000000018d4b,  26
module[  4]: 0x0000000000018d65,   9
module[  4]: 0x0000000000018d90,   5
module[  4]: 0x0000000000018dca,  15
module[  4]: 0x000000000001ac6a,   7
module[  4]: 0x000000000001bec0,   9
module[  4]: 0x000000000001bec9,  11
module[  4]: 0x000000000001bed4,  14
module[  4]: 0x000000000001bee2,   2
module[  4]: 0x000000000001ac71,  38
module[  4]: 0x000000000001ac97,  12
module[  4]: 0x000000000001aca3,  12
module[  4]: 0x000000000001af70,  28
module[  4]: 0x000000000001a660,  13
module[  4]: 0x000000000001a66d,  88
module[  4]: 0x000000000001a6c5,   9
module[  4]: 0x000000000001a6ce,  51
module[  4]: 0x000000000001a701,  19
module[  4]: 0x000000000001a848,   8
module[  4]: 0x000000000001a850,  26
module[  4]: 0x000000000001a86a,  22
module[  4]: 0x000000000001a8c8,  11
module[  4]: 0x000000000001a880,  16
module[  4]: 0x000000000001a714,  13
module[  4]: 0x000000000001a721,  19
module[  4]: 0x000000000001a734,  38
module[  4]: 0x000000000001a824,   9
module[  4]: 0x000000000001af8c,   9
module[  4]: 0x000000000001affe,  32
module[  4]: 0x000000000001b01e,  16
